make,model,colour,capacity,network,grade,condition,count
Alcatel,1035,White,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,12
Alcatel,1035,"DARK CHOCOLATE","Not Applicable",Unlocked,"Brand New","Brand New",1360
Alcatel,1035X,Red,"Not Applicable",Unlocked,"Insurance Grade","Brand New",28
Alcatel,1035X,Red,"Not Applicable",Unlocked,"Grade B B2B",Working,12
Alcatel,1035X,White,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,56
Alcatel,1035X,White,"Not Applicable",Unlocked,"Insurance Grade","Brand New",48
Alcatel,1035X,White,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,12
Alcatel,1035X,White,"Not Applicable",Unlocked,"Brand New","Brand New",420
Alcatel,1035X,White,"Not Applicable",Lebara,"Grade A - Very Good Condition","Non-working - Unlock",4
Alcatel,1035X,Red,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,8
Alcatel,1035X,Red,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,16
Alcatel,1035X,"DARK CHOCOLATE","Not Applicable",Unlocked,"Grade A - Very Good Condition","Working - Need Battery Cover and Battery",16
Alcatel,1035X,"DARK CHOCOLATE","Not Applicable",Unlocked,"Grade A - Very Good Condition","Working - Need Battery Cover",12
Alcatel,1035X,"DARK CHOCOLATE","Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,212
Alcatel,1035X,"DARK CHOCOLATE","Not Applicable",Unlocked,"Grade B - Good Condition",Working,16
Alcatel,1035X,"DARK CHOCOLATE","Not Applicable",Unlocked,"Insurance Grade",Working,32
Alcatel,1035X,"DARK CHOCOLATE","Not Applicable",NOS-Portugal,Unknown,Non-working,12
Alcatel,1035X,"DARK CHOCOLATE","Not Applicable",NOS-Portugal,"Grade A - Very Good Condition",Working,8
Alcatel,1035X,"DARK CHOCOLATE","Not Applicable",NOS-Portugal,"Grade A - Very Good Condition","Working - Need Battery Cover",16
Alcatel,1035X,"DARK CHOCOLATE","Not Applicable",Unlocked,Unknown,"Non-working - Need Repair - HardWare",8
Alcatel,1035X,"DARK CHOCOLATE","Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,4
Alcatel,1035X,"DARK CHOCOLATE","Not Applicable",NOS-Portugal,"Grade C - Acceptable Condition","Working - Minor Issue",4
Alcatel,1035X,"DARK CHOCOLATE","Not Applicable",NOS-Portugal,"Grade C - Acceptable Condition","Non-working - Need Battery Cover And Battery",4
Alcatel,1035X,Black,"Not Applicable",Damaged,"Grade C - Acceptable Condition","Power On Tested-Good LCD",8
Alcatel,1035X,Black,"Not Applicable",Unlocked,"Grade D",Working,4
Alcatel,1040x,White,"Not Applicable",Damaged,"Grade C - Acceptable Condition","Power On Tested-Good LCD",4
Alcatel,1042X,Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,12
Alcatel,1042X,Black,"Not Applicable",Unknown,Unknown,Non-working,4
Alcatel,1042X,Black,"Not Applicable",Foreign,"Grade C - Acceptable Condition","Non-working - Unlock",4
Alcatel,1042X,Black,"Not Applicable",Unknown,"Grade D","Power On Tested-Broken LCD",4
Alcatel,1042X,Black,"Not Applicable",Unknown,"Grade C - Acceptable Condition","Power On Tested-Broken LCD",4
Alcatel,1052G,Black,"Not Applicable",NOS-Portugal,"Grade B - Good Condition","Non-working - Need Battery Cover And Battery",16
Alcatel,1052G,Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Non-working - Need Battery Cover",4
Alcatel,1052G,Black,"Not Applicable",NOS-Portugal,"Grade B - Good Condition","Non-working - Need Battery Cover",4
Alcatel,1052G,Black,"Not Applicable",NOS-Portugal,"Insurance Grade","Non-working - Need Battery Cover",4
Alcatel,1052G,Black,"Not Applicable",Unlocked,"Brand New","Brand New",60
Alcatel,1052G,Black,"Not Applicable",NOS-Portugal,"Grade C - Acceptable Condition","Non-working - DeBrand",8
Alcatel,1052G,Black,"Not Applicable",NOS-Portugal,"Grade A - Very Good Condition","Non-working - DeBrand",4
Alcatel,1052G,Black,"Not Applicable",NOS-Portugal,"Grade B - Good Condition","Non-working - DeBrand",4
Alcatel,1052G,Black,"Not Applicable",NOS-Portugal,"Grade B - Good Condition","Working - Need Battery Cover",8
Alcatel,1052G,Black,"Not Applicable",Unlocked,"Grade B - Good Condition","Non-working - Need Battery Cover",4
Alcatel,1052G,Black,"Not Applicable",Damaged,"Grade C - Acceptable Condition","Power On Tested-Good LCD",4
Alcatel,1052G,Black,"Not Applicable",Vodafone,"Grade C - Acceptable Condition",Working,4
Alcatel,1054X,Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Non-working - Need Battery Cover And Battery",4
Alcatel,1054X,Black,"Not Applicable",Unlocked,"Grade B - Good Condition","Non-working - Need Battery Cover And Battery",4
Alcatel,1054X,Black,"Not Applicable",Unlocked,Unknown,"Awaiting Parts",12
Alcatel,1054X,Black,1GB,Vodafone,"Grade C - Acceptable Condition",Working,4
Alcatel,132,Black,"Not Applicable",Damaged,"Grade C - Acceptable Condition","Power On Tested-Broken LCD",4
Alcatel,"20 01 T BLK",Black,"Not Applicable",Unlocked,"Insurance Grade","Brand New",4
Alcatel,"20 01 T BLK",Black,"Not Applicable",Unlocked,"Grade D",Working,12
Alcatel,"20 01 T BLK",Black,"Not Applicable",Tesco-Mobile,Unknown,BER,4
Alcatel,20.04,Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,24
Alcatel,20.04,Black,"Not Applicable",Unlocked,"Grade D",Working,4
Alcatel,20.04,Black,"Not Applicable",Tesco-Mobile,"Grade B - Good Condition","Power On Tested-Good LCD",4
Alcatel,20.04,Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,20
Alcatel,20.04,Black,"Not Applicable",Unlocked,"Grade B B2B",Working,4
Alcatel,20.04,Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,4
Alcatel,20.05,Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,4
Alcatel,20.05,Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,4
Alcatel,20.07,Black,"Not Applicable",Unlocked,"Insurance Grade","Brand New",44
Alcatel,20.07,Black,"Not Applicable",Unknown,"Grade D",BER,4
Alcatel,20.07,Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Non-working,4
Alcatel,20.07,Black,"Not Applicable",Unlocked,"Grade D",Working,12
Alcatel,20.07,Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,24
Alcatel,20.07,Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,32
Alcatel,20.07,Black,"Not Applicable",Tesco-Mobile,Unknown,BER,4
Alcatel,20.07,Black,"Not Applicable",Unknown,"Grade B - Good Condition","Power On Tested-Good LCD",4
Alcatel,20.07,Black,"Not Applicable",Tesco-Mobile,"Grade C - Acceptable Condition","Power On Tested-Good LCD",4
Alcatel,20.07,Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,20
Alcatel,20.07,Black,"Not Applicable",Unknown,"Grade D","Power On Tested-Good LCD",8
Alcatel,20.07,Black,"Not Applicable",Unknown,"Grade C - Acceptable Condition","Power On Tested-Good LCD",4
