make,model,colour,capacity,network,grade,condition,count
Motorola,"0.5 AMP MOTOROLA CHARGER - SMARTWATCH DOCKS",Black,"Not Applicable","Not Applicable","Brand New","Brand New",40
Motorola,"0.5 AMP MOTOROLA CHARGER - SONY BLUETOOTH HEADSET SBH56",Black,"Not Applicable","Not Applicable","Brand New","Brand New",20
Motorola,"0.5 AMP MOTOROLA CHARGER - SONY MDR-ZX770BN ZX770BN BLUETOOTH HEADPHONES",Black,"Not Applicable","Not Applicable","Brand New","Brand New",20
Motorola,"0.5 AMP MOTOROLA CHARGER - SONY STEREO BLUETOOTH HEADSET SBH24",Black,"Not Applicable","Not Applicable","Brand New","Brand New",20
Motorola,"0.5 AMP MOTOROLA CHARGER - SONY STEREO BLUETOOTH HEADSET SBH54",Black,"Not Applicable","Not Applicable","Brand New","Brand New",20
Motorola,"0.5 AMP MOTOROLA CHARGER - SONY WIRELESS HEADSET WI-C400",Black,"Not Applicable","Not Applicable","Brand New","Brand New",20
Motorola,"0.5 AMP MOTOROLA CHARGER - SPEAKERS",Black,"Not Applicable","Not Applicable","Brand New","Brand New",40
Motorola,"0.5 AMP MOTOROLA CHARGER - VAPE",Black,"Not Applicable","Not Applicable","Brand New","Brand New",376
Motorola,"0.5 AMP MOTOROLA CHARGER - VTECH KIDIZOOM SMARTWATCH DX",Black,"Not Applicable","Not Applicable","Brand New","Brand New",20
Motorola,"AC ADAPTER C-P37 SPN5940A + CHARGING CABLE + EARPHONES",White,"Not Applicable","Not Applicable","Brand New","Brand New",12
Motorola,"AC ADAPTER C-P58 SPN5950A + CHARGING CABLE + EARPHONES",White,"Not Applicable","Not Applicable","Brand New","Brand New",92
Motorola,"BC50 BATTERY",Black,"Not Applicable","Not Applicable","Insurance Grade","Brand New",4
Motorola,C139,Silver,"Not Applicable",Damaged,"Grade C - Acceptable Condition",BER,4
Motorola,"DEFY MINI M0C5B",Black,"Not Applicable",Unknown,"Grade D",BER,4
Motorola,"DEFY MINI M0C5B",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Non-working - Need Battery Cover And Battery",4
Motorola,"Defy Mini xt320",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Non-working - Need Battery Cover And Battery",36
Motorola,"Defy Mini xt320",Black,"Not Applicable",Unlocked,"Grade B - Good Condition","Non-working - Need Battery Cover And Battery",24
Motorola,"Defy Mini xt320",Black,"Not Applicable",Unlocked,"Grade B - Good Condition","Non-working - Need Battery",12
Motorola,"Defy Mini xt320",Black,"Not Applicable",Foreign,"Grade D",BER,4
Motorola,"Defy Mini xt320",Black,"Not Applicable",Unknown,"Grade C - Acceptable Condition",BER,4
Motorola,"Defy Mini xt320",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,32
Motorola,"Defy Mini xt320",Black,"Not Applicable",Unlocked,"Insurance Grade","Brand New",12
Motorola,"Defy Mini xt320",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Non-working - Need Battery",12
Motorola,"Defy Mini xt320",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,4
Motorola,"Defy Mini xt320",Black,"Not Applicable",Unlocked,"Grade D","Non-working - Need Battery",4
Motorola,"Defy Mini xt320",Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,4
Motorola,"Defy Mini xt320",Black,"Not Applicable",Foreign,"Grade A - Very Good Condition",Working,4
Motorola,"Defy Mini xt320",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition","Non-working - Need Battery Cover",4
Motorola,"Defy Mini xt320",Black,"Not Applicable",Foreign,"Insurance Grade","Working - Need Battery Cover and Battery",48
Motorola,"Defy Mini xt320",Black,"Not Applicable",Foreign,"Insurance Grade","Working - Need Battery",16
Motorola,"Defy Mini xt320",Black,"Not Applicable",Foreign,"Grade B - Good Condition","Working - Need Battery",4
Motorola,"Defy Mini xt320",Black,"Not Applicable",Unlocked,"Grade B B2B",Working,28
Motorola,"Defy Mini xt320",Black,"Not Applicable",Unlocked,"Insurance Grade","Non-working - Need Battery Cover And Battery",4
Motorola,"Defy Mini xt320",Black,"Not Applicable",Foreign,"Insurance Grade","Brand New",4
Motorola,"DROID RAZR M",Black,"Not Applicable",Damaged,"Grade C - Acceptable Condition",BER-Scrap,4
Motorola,E3,Black,8GB,O2,"Grade A - Very Good Condition",Working,12
Motorola,E3,Black,8GB,O2,Unknown,Non-working,4
Motorola,E3,Black,8GB,O2,"Grade B - Good Condition",Working,4
Motorola,G5,Black,16GB,O2,"Grade B - Good Condition",Working,4
Motorola,G5,Grey,16GB,Unlocked,Unknown,"Non-working - Need Repair - Software",4
Motorola,Gleam,Black,"Not Applicable",Unlocked,"Grade D","Working – Major Screen Burn",4
Motorola,Gleam,Black,"Not Applicable",Unlocked,"Grade D",Working,4
Motorola,"HOME C118",Black,"Not Applicable",Damaged,"Not Graded",BER,8
Motorola,"HOME C118",Black,"Not Applicable",Damaged,"Grade C - Acceptable Condition",BER,28
Motorola,"HOME C118",Black,"Not Applicable","Not Applicable","Grade D",BER,4
Motorola,"HOME F3",Black,"Not Applicable",NOS-Portugal,"Grade C - Acceptable Condition","Power On Tested-Good LCD",8
Motorola,MB860,Black,8GB,Unlocked,"Grade C - Acceptable Condition",Working,4
Motorola,"Moto 360",Grey,"Not Applicable","Not Applicable","Grade B - Good Condition",Working,240
Motorola,"Moto 360",Grey,"Not Applicable","Not Applicable","Grade C - Acceptable Condition",Working,72
Motorola,"Moto 360",Grey,"Not Applicable","Not Applicable","Grade A - Very Good Condition",Working,176
Motorola,"Moto 360",Black,"Not Applicable","Not Applicable","Grade C - Acceptable Condition",Working,92
Motorola,"Moto 360",Black,"Not Applicable","Not Applicable",Unknown,Non-working,60
Motorola,"Moto 360",Black,"Not Applicable","Not Applicable","Grade A - Very Good Condition",Working,52
Motorola,"Moto 360",Gold,"Not Applicable","Not Applicable","Grade A - Very Good Condition",Working,136
Motorola,"Moto 360",Gold,"Not Applicable","Not Applicable","Grade C - Acceptable Condition",Working,32
Motorola,"Moto 360",Gold,"Not Applicable","Not Applicable","Grade B - Good Condition",Working,112
Motorola,"Moto 360",Gold,"Not Applicable","Not Applicable","Insurance Grade","Brand New",28
Motorola,"Moto 360",Black,"Not Applicable","Not Applicable","Grade B - Good Condition",Working,140
Motorola,"Moto 360",Gold,"Not Applicable","Not Applicable","Grade B B2B",Working,8
Motorola,"Moto 360",Grey,"Not Applicable","Not Applicable","Grade D",Non-working,4
Motorola,"Moto 360",Grey,"Not Applicable","Not Applicable","Grade D",Working,44
Motorola,"Moto 360",Black,"Not Applicable","Not Applicable","Grade D",Working,16
Motorola,"Moto 360",Grey,"Not Applicable","Not Applicable","Insurance Grade","Brand New",36
Motorola,"Moto 360",Black,"Not Applicable","Not Applicable","Insurance Grade","Brand New",20
Motorola,"Moto 360",Grey,"Not Applicable","Not Applicable","Grade B B2B",Working,4
Motorola,"Moto 360",Black,"Not Applicable","Not Applicable","Grade B B2B",Working,4
Motorola,"Moto 360",Gold,"Not Applicable","Not Applicable","Brand New","Brand New",52
Motorola,"Moto 360",Silver,"Not Applicable","Not Applicable","Grade C - Acceptable Condition",Working,4
Motorola,"Moto 360",Gold,"Not Applicable","Not Applicable","Grade D",Working,4
Motorola,"Moto 360",Grey,4GB,"Not Applicable","Grade B - Good Condition",Working,4
Motorola,"Moto 360",Black,4GB,"Not Applicable","Grade B - Good Condition",Working,4
Motorola,"Moto 360",Grey,"Not Applicable","Not Applicable","Grade B - Good Condition",Non-working,4
Motorola,"Moto 360","Mocha gray","Not Applicable","Not Applicable","Grade B - Good Condition","Working - Minor Issue",8
Motorola,"Moto 360","Mocha gray","Not Applicable","Not Applicable","Grade B - Good Condition",Working,8
Motorola,"Moto 360","Mocha gray","Not Applicable","Not Applicable","Grade C - Acceptable Condition",Working,4
Motorola,"Moto 360",Black,"Not Applicable","Not Applicable","Grade B - Good Condition","Working - Minor Issue",4
Motorola,"Moto 360",Grey,"Not Applicable","Not Applicable",Unknown,Non-working,24
Motorola,"Moto 360","Black Leather","Not Applicable","Not Applicable","Grade C - Acceptable Condition",Working,16
Motorola,"Moto 360","Black Leather","Not Applicable","Not Applicable","Insurance Grade","Brand New",4
Motorola,"Moto 360",Black,"Not Applicable","Not Applicable","Brand New","Brand New",8
Motorola,"Moto 360",Grey,"Not Applicable","Not Applicable","Brand New","Brand New",4
Motorola,"Moto 360",Grey,"Not Applicable","Not Applicable","Insurance Grade",Working,4
Motorola,"Moto 360",Gold,"Not Applicable","Not Applicable","Insurance Grade",Working,4
Motorola,"Moto 360",Grey,"Not Applicable","Not Applicable","Grade C - Acceptable Condition",Non-working,4
Motorola,"Moto 360",Grey,Unknown,"Not Applicable","Grade D",Working,4
Motorola,"Moto 360",Grey,"Not Applicable","Not Applicable","Grade B - Good Condition","Working – Minor Screen Burn",4
Motorola,"MOTO 360 2 42MM BLACK LEATHER BAND",Black,"Not Applicable","Not Applicable","Grade B - Good Condition",Working,56
Motorola,"MOTO 360 2 42MM BLACK LEATHER BAND",Black,"Not Applicable","Not Applicable","Grade B - Good Condition",Non-working,4
Motorola,"MOTO 360 2 42MM BLACK LEATHER BAND",Black,"Not Applicable","Not Applicable",Unknown,Non-working,4
Motorola,"MOTO 360 2 42MM BLACK LEATHER BAND",Black,4GB,"Not Applicable","Grade C - Acceptable Condition",Working,4
Motorola,"MOTO 360 2ND GEN ",Black,"Not Applicable","Not Applicable","Grade B - Good Condition",Working,368
Motorola,"MOTO 360 2ND GEN ",Black,"Not Applicable","Not Applicable","Grade C - Acceptable Condition",Working,84
Motorola,"MOTO 360 2ND GEN ",Black,"Not Applicable","Not Applicable","Grade A - Very Good Condition",Working,328
Motorola,"MOTO 360 2ND GEN ",Black,"Not Applicable","Not Applicable","Brand New","Brand New",168
Motorola,"MOTO 360 2ND GEN ",Black,"Not Applicable","Not Applicable","Insurance Grade","Brand New",60
Motorola,"MOTO 360 2ND GEN ",Black,"Not Applicable","Not Applicable",Unknown,Non-working,44
Motorola,"MOTO 360 2ND GEN ",Black,"Not Applicable","Not Applicable","Insurance Grade",Working,96
Motorola,"MOTO 360 2ND GEN ",Black,"Not Applicable","Not Applicable","Grade D",Working,4
Motorola,"MOTO 360 2ND GEN - FBA UK",Black,"Not Applicable","Not Applicable","Brand New","Brand New",8
Motorola,"MOTO 360 2ND GEN METAL",Black,"Not Applicable","Not Applicable","Grade B - Good Condition",Working,4
Motorola,"MOTO 360 2ND GEN METAL",Silver,"Not Applicable","Not Applicable","Grade B - Good Condition",Non-working,4
Motorola,"MOTO 360 SPORT",Black,"Not Applicable","Not Applicable","Grade B - Good Condition",Working,160
Motorola,"MOTO 360 SPORT",Black,"Not Applicable","Not Applicable","Insurance Grade","Brand New",16
Motorola,"MOTO 360 SPORT",Black,"Not Applicable","Not Applicable","Grade A - Very Good Condition",Working,72
Motorola,"MOTO 360 SPORT",Black,"Not Applicable","Not Applicable","Brand New","Brand New",64
Motorola,"MOTO 360 SPORT",Black,"Not Applicable","Not Applicable","Grade A - Very Good Condition","Warranty Send-Off",4
Motorola,"MOTO 360 SPORT",Black,"Not Applicable","Not Applicable","Grade C - Acceptable Condition",Working,8
Motorola,"MOTO 360 SPORT",Black,"Not Applicable","Not Applicable","Insurance Grade",Working,36
Motorola,"MOTO 360 SPORT",Black,"Not Applicable","Not Applicable",Unknown,Non-working,8
Motorola,"MOTO 360 SPORT SMARTWATCH",Black,"Not Applicable","Not Applicable","Brand New","Brand New",32
Motorola,"MOTO C",Black,16GB,Unlocked,"Grade B - Good Condition",Working,4
Motorola,"MOTO C",Black,16GB,Unlocked,"Insurance Grade","Brand New",4
Motorola,"MOTO C",Red,16GB,Unlocked,"Grade B - Good Condition",Working,4
Motorola,"MOTO C",Black,16GB,Unlocked,Unknown,"Non-working - Need Repair - HardWare",4
Motorola,"MOTO C PLUS",Black,16GB,Damaged,"Grade C - Acceptable Condition","iOS 7 Locked",4
Motorola,"Moto E",Black,4GB,Unlocked,"Grade B B2B",Working,4
Motorola,"Moto E",Black,8GB,Unlocked,"Grade B - Good Condition",Working,4
Motorola,"Moto E",Black,4GB,Unlocked,"Grade C - Acceptable Condition",Working,4
Motorola,"Moto E",Black,8GB,O2,"Grade A - Very Good Condition",Working,4
Motorola,"Moto E",Black,8GB,Unlocked(3),"Grade B B2B",Working,4
Motorola,"Moto E",Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,12
Motorola,"Moto E",White,4GB,Unlocked,"Grade B - Good Condition",Working,4
Motorola,"Moto E",Black,8GB,Damaged,"Insurance Grade",Non-working,4
Motorola,"MOTO E 4TH GEN",Blue,16GB,Damaged,Unknown,"Non-working - Need Repair - HardWare",4
Motorola,"MOTO E BACK COVER",Aqua,"Not Applicable","Not Applicable","Brand New","Brand New",20
Motorola,"MOTO E BACK COVER",Black,"Not Applicable","Not Applicable","Brand New","Brand New",20
Motorola,"MOTO E XT1021",Black,4GB,Unlocked,"Grade D",Working,4
Motorola,"MOTO E XT1021",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,4
Motorola,"MOTO E XT1524",Black,8GB,Unknown,"Grade D",BER,4
Motorola,"MOTO E4 PLUS",Grey,16GB,Damaged,Unknown,"Non-working - Need Repair - HardWare",4
Motorola,"MOTO G",Black,8GB,Unlocked,"Grade C - Acceptable Condition",Working,4
Motorola,"MOTO G",Black,8GB,Unknown,Unknown,Non-working,4
Motorola,"MOTO G",Black,8GB,Tesco-Mobile,"Grade B B2B",Working,4
Motorola,"MOTO G",Black,8GB,Damaged,Unknown,"Power On Tested-Good LCD",4
Motorola,"MOTO G",Black,4GB,Damaged,Unknown,Non-working,8
Motorola,"MOTO G",Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,4
Motorola,"MOTO G",Black,8GB,Damaged,Unknown,Non-working,4
Motorola,"MOTO G 2ND GEN",Black,8GB,Unlocked,"Grade B - Good Condition",Working,4
Motorola,"MOTO G 3RD GEN",Black,8GB,Unlocked,"Grade A - Very Good Condition",Working,4
Motorola,"MOTO G 3RD GEN",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,8
Motorola,"MOTO G 3RD GEN",Black,8GB,Vodafone,Unknown,"Non-working - DeBrand And Unlock",8
Motorola,"MOTO G 3RD GEN",Black,8GB,Unlocked,"Grade C - Acceptable Condition",Working,4
Motorola,"MOTO G 3RD GEN",Black,8GB,Unlocked,"Grade B - Good Condition",Working,4
Motorola,"MOTO G 3RD GEN",Black,16GB,Unlocked,"Grade B - Good Condition",Working,4
Motorola,"MOTO G 3RD GEN",Black,8GB,Unlocked,"Grade C - Acceptable Condition","Working – Minor Screen Burn",4
Motorola,"MOTO G 3RD GEN",Black,8GB,O2,"Grade C - Acceptable Condition",Blacklisted,4
Motorola,"Moto G 5in XT1068",Black,8GB,Unlocked,"Grade C - Acceptable Condition","Working - Minor Issue",4
Motorola,"Moto G 5in XT1068",Black,8GB,Unlocked,"Grade A - Very Good Condition",Non-working,4
Motorola,"Moto G 8GB",Black,8GB,Unlocked,"Grade C - Acceptable Condition",Working,4
Motorola,"MOTO G PLAY",Black,16GB,O2,Unknown,"Non-working - Need Repair - Software",4
Motorola,"MOTO G PLAY",Black,16GB,O2,Unknown,Non-working,4
Motorola,"MOTO G PLAY",Black,16GB,O2,"Insurance Grade","Brand New",4
Motorola,"MOTO G PLAY",Black,16GB,O2,"Grade B - Good Condition","Non-working - Need Repair - Software",4
Motorola,"MOTO G3",Black,8GB,Unlocked,"Grade B - Good Condition",Working,8
Motorola,"MOTO G4",Black,8GB,O2,"Grade B - Good Condition",Blacklisted,4
Motorola,"MOTO G4",Black,16GB,Unlocked,"Grade C - Acceptable Condition","Working – Minor Screen Burn",4
Motorola,"MOTO G4 - 16 GB, 2 GB RAM DUAL SIM",Black,16GB,Tesco-O2,"Grade B - Good Condition","Non-working - Unlock",4
Motorola,"MOTO G4 PLAY - BACK COVER",Black,"Not Applicable","Not Applicable","Brand New","Brand New",20
Motorola,"MOTO G4 PLUS - BACK COVER",Black,"Not Applicable","Not Applicable","Brand New","Brand New",4
Motorola,"MOTO G5 XT1675",Blue,16GB,Unlocked,"Grade A - Very Good Condition",Working,4
Motorola,"Moto X",Black,16GB,Unlocked,"Grade B - Good Condition","Non-working - DeBrand",4
Motorola,"Moto X (2014)",Grey,Unknown,Unlocked,"Grade C - Acceptable Condition",Working,4
Motorola,"MOTO X STYLE",White,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,4
Motorola,"Nexus 6",Black,32GB,Unlocked,"Grade B - Good Condition",Working,4
Motorola,"Nexus 6",Black,"Not Applicable",Unknown,"Not Graded",BER,8
Motorola,"Nexus 6",Black,64GB,Unlocked,"Grade B - Good Condition",Working,4
Motorola,"Nexus 6",Blue,32GB,Unlocked,"Grade B - Good Condition",Non-working,4
Motorola,"Nexus 6",Blue,32GB,Unlocked,"Grade A - Very Good Condition",Working,4
Motorola,"Nexus 6",Blue,64GB,Unlocked,"Grade B - Good Condition",Working,4
Motorola,"Nexus 6","Dark Blue",32GB,Damaged,Unknown,Non-working,4
Motorola,"PULSE MAX OVER EAR WIRED HEADPHONE",Black,"Not Applicable","Not Applicable","Insurance Grade",Working,1848
Motorola,"PULSE MAX OVER EAR WIRED HEADPHONE",Black,"Not Applicable","Not Applicable","Grade C - Acceptable Condition",BER-Scrap,4
Motorola,"PULSE MAX OVER EAR WIRED HEADPHONE",White,"Not Applicable","Not Applicable","Insurance Grade",Working,956
Motorola,"PULSE MAX OVER EAR WIRED HEADPHONE",White,"Not Applicable","Not Applicable","Grade A - Very Good Condition",Working,4
Motorola,"PULSE MAX OVER EAR WIRED HEADPHONE",White,"Not Applicable","Not Applicable","Brand New","Brand New",4
Motorola,"PULSE MAX OVER EAR WIRED HEADPHONE",Black,"Not Applicable","Not Applicable","Brand New","Brand New",4
Motorola,"PULSE MAX OVER EAR WIRED HEADPHONE",Black,"Not Applicable","Not Applicable","Grade A - Very Good Condition",Working,4
Motorola,"Razor i XT890",Black,8GB,Unknown,"Grade C - Acceptable Condition",BER,4
Motorola,"SHELL CASE FOR MOTO G 3RD GENERATION",White,"Not Applicable","Not Applicable","Grade A - Very Good Condition",Working,332
Motorola,"SPN5841B CHARGER AND EARPHONES",Black,"Not Applicable","Not Applicable","Brand New","Brand New",20
Motorola,WX306,Black,"Not Applicable",Unknown,"Grade D","Power On Tested-Good LCD",4
Motorola,"xoom 32gb wifi",Silver,32GB,"Not Applicable","Grade C - Acceptable Condition",Working,4
Motorola,"xoom 32gb wifi",Silver,32GB,"Not Applicable","Insurance Grade","Brand New",4
Motorola,"xoom 32gb wifi",Grey,32GB,"Not Applicable","Insurance Grade","Brand New",12
Motorola,"XT1095 MOTO G 2ND GEN",Black,16GB,Unknown,Unknown,Non-working,4
MSI,"G31 TM-P35",Black,2GB,"Not Applicable","Grade B - Good Condition",Working,4
MSI,"G31 TM-P35",Grey,2GB,"Not Applicable","Grade B - Good Condition",Working,4
MSI,"G31 TM-P35",Black,4GB,"Not Applicable","Grade B - Good Condition",Working,12
"MUSIC ANGEL","FRIENDZ JH-MD04E2",Pink,"Not Applicable","Not Applicable","Grade A - Very Good Condition",Working,8
"MUSIC ANGEL","FRIENDZ JH-MD04E2",Silver,"Not Applicable","Not Applicable","Grade A - Very Good Condition",Working,16
"MUSIC ANGEL","FRIENDZ JH-MD04E2",Blue,"Not Applicable","Not Applicable","Grade A - Very Good Condition",Working,20
"MUSIC ANGEL","FRIENDZ JH-MD04E2",Black,"Not Applicable","Not Applicable","Insurance Grade",Working,20
"MUSIC ANGEL","FRIENDZ JH-MD04E2",Blue,"Not Applicable","Not Applicable","Brand New","Brand New",8
"MUSIC ANGEL","FRIENDZ JH-MD04E2",Silver,"Not Applicable","Not Applicable","Grade B - Good Condition",Working,8
"MUSIC ANGEL","FRIENDZ JH-MD04E2",Pink,"Not Applicable","Not Applicable","Grade B - Good Condition",Working,4
"MUSIC ANGEL","FRIENDZ JH-MD04E2",Blue,"Not Applicable","Not Applicable","Grade B - Good Condition",Working,12
"MUSIC ANGEL","FRIENDZ JH-MD04E2",Pink,"Not Applicable","Not Applicable","Brand New","Brand New",4
"MUSIC ANGEL","FRIENDZ JH-MD04E2",Blue,"Not Applicable","Not Applicable","Insurance Grade",Working,4
NEC,72VN,Silver,"Not Applicable","Not Applicable","Grade B - Good Condition",Working,8
NEC,"MULTISYNC 195VXM+",Silver,"Not Applicable","Not Applicable","Grade B - Good Condition",Working,4
NEC,MULTISYNCLCD2170NX,Silver,"Not Applicable","Not Applicable","Grade B - Good Condition",Working,4
NEST,"LEARNING THERMOSTAT 2ND GEN",Silver,"Not Applicable","Not Applicable","Grade B - Good Condition",Working,4
NEST,"LEARNING THERMOSTAT 2ND GEN",Black,"Not Applicable","Not Applicable","Brand New","Brand New",32
NEST,"LEARNING THERMOSTAT 2ND GEN",Black,"Not Applicable","Not Applicable","Grade A - Very Good Condition",Working,60
NEST,"LEARNING THERMOSTAT 2ND GEN",Black,"Not Applicable","Not Applicable","Insurance Grade","Brand New",16
NEST,"LEARNING THERMOSTAT 2ND GEN",Black,"Not Applicable","Not Applicable","Grade D",BER,4
NEST,"LEARNING THERMOSTAT 2ND GEN",Silver,"Not Applicable","Not Applicable","Grade C - Acceptable Condition",Working,4
NEST,"LEARNING THERMOSTAT 2ND GEN",Black,"Not Applicable","Not Applicable","Grade C - Acceptable Condition",Non-working,4
NEST,"LEARNING THERMOSTAT 2ND GEN - FBA UK",Black,"Not Applicable","Not Applicable","Brand New","Brand New",260
NETGEAR,"AIRCARD 762S",Black,"Not Applicable",Unknown,"Grade B - Good Condition",BER,4
NETGEAR,"AIRCARD 762S",Black,"Not Applicable","Not Applicable","Grade C - Acceptable Condition",Working,4
NETGEAR,"ORBI WHOLE HOME WIFI SYSTEM RBK50",White,"Not Applicable","Not Applicable","Grade A - Very Good Condition",Working,8
NETGEAR,"ORBI WIFI SYSTEM (RBK23)",White,"Not Applicable","Not Applicable","Brand New","Brand New",12
NETGEAR,"ORBI WIFI SYSTEM (RBK23)",White,"Not Applicable","Not Applicable","Insurance Grade",Working,20
NETGEAR,"WIRED MODEM ROUTER - DG834",White,"Not Applicable","Not Applicable","Grade A - Very Good Condition",Working,4
NETGEAR,"WIRED MODEM ROUTER - DG834",White,"Not Applicable","Not Applicable","Grade B - Good Condition",Working,8
NETZTEIL,"AD8260-2LF CHARGER",Black,"Not Applicable","Not Applicable","Insurance Grade",Working,40
NEXTBIT,ROBIN,Black,32GB,Unlocked,"Grade C - Acceptable Condition","Working – Minor Screen Burn",4
NICOLITES,"MENTHOL FLAVOUR - 16MG/ML - DISPOSABLE - HIGH",Black,"Not Applicable","Not Applicable","Brand New","Brand New",32
NICOLITES,"MENTHOL FLAVOUR 3 PACK CORTOMISERS 16MG",Black,"Not Applicable","Not Applicable","Brand New","Brand New",80
NICOLITES,"MINI DISPOSABLE TOBACCO FLAVOUR 16MG",Black,"Not Applicable","Not Applicable","Brand New","Brand New",32
NICOLITES,"NICOTINE MED. 11MG/ML - DISPOSABLE - TOBACCO FLAVOUR",Black,"Not Applicable","Not Applicable","Brand New","Brand New",128
NICOLITES,"TOBACCO FLAVOUR - 3 X CARTOMISERS - 600 PUFFS 11MG",Black,"Not Applicable","Not Applicable","Brand New","Brand New",12
NICOLITES,"TOBACCO FLAVOUR 16MG/ML - DISPOSABLE - HIGH",Black,"Not Applicable","Not Applicable","Brand New","Brand New",32
NICOLITES,"TOBACCO FLAVOUR 1XHIGH 1XMED CORTOMISERS 16MG",Black,"Not Applicable","Not Applicable","Brand New","Brand New",80
NICOLITES,"TOBACCO FLAVOUR 3 PACK CORTOMISERS 16MG",Black,"Not Applicable","Not Applicable","Brand New","Brand New",56
Nikon,"COOLPIX S3300",Black,"Not Applicable","Not Applicable","Grade B - Good Condition",Working,4
Nikon,"COOLPIX S7000",Black,Unknown,"Not Applicable","Grade B - Good Condition",Working,4
Nikon,"D300 body with lens",Black,"Not Applicable","Not Applicable","Grade B - Good Condition",Working,4
Nikon,"D3200 DSLR With 18-55mm VR Lens + Tamron 70-300mm Lens",Black,"Not Applicable","Not Applicable","Grade B - Good Condition",Working,4
Nikon,"D5000 DSLR  with 18-55mm VR Lens Kit",Black,"Not Applicable","Not Applicable","Grade B - Good Condition",Working,4
NOA,"VISION H3SE",White,"Not Applicable",Damaged,"Grade D",BER-Scrap,4
Nokia," 103",Blue,"Not Applicable",Damaged,"Grade C - Acceptable Condition","Power On Tested-Good LCD",4
Nokia," 103",Blue,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Working - Minor Issue",4
Nokia," 105",Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,300
Nokia," 105",Black,"Not Applicable",Unlocked,"Grade B B2B",Working,16
Nokia," 105",Blue,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,4
Nokia," 105",Blue,"Not Applicable",Unlocked,"Grade B B2B",Working,4
Nokia," 105",Blue,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,20
Nokia," 105",Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Non-working,4
Nokia," 105",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,24
Nokia," 105",Black,"Not Applicable",Unlocked,"Grade D",Working,16
Nokia," 105",Black,"Not Applicable",Damaged,"Grade D",BER,12
Nokia," 105",Black,"Not Applicable",Unlocked,"Not Graded",Working,4
Nokia," 105",Blue,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,8
Nokia," 105",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition","Power On Tested-Good LCD",4
Nokia," 105",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,16
Nokia," 215 RM-1111",Black,"Not Applicable",Unknown,"Grade B - Good Condition",BER,4
Nokia," 215 RM-1111",Black,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,1672
Nokia," 215 RM-1111",Black,"Not Applicable",Unlocked,"Grade B B2B",Working,76
Nokia," 215 RM-1111",Black,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,256
Nokia," 215 RM-1111",Black,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,648
Nokia," 215 RM-1111",Black,"Not Applicable",Unlocked,Unknown,"Warranty Send-Off",4
Nokia," 215 RM-1111",Black,"Not Applicable",Unknown,"Grade B B2B",Working,28
Nokia," 215 RM-1111",Black,"Not Applicable",Unknown,"Grade C - Acceptable Condition","Power On Tested-Good LCD",4
Nokia," 215 RM-1111",Black,"Not Applicable",Unknown,"Grade B - Good Condition",Working,12
Nokia," 215 RM-1111",Black,"Not Applicable",Unknown,"Grade D",Working,4
Nokia," 215 RM-1111",Black,"Not Applicable",Unknown,"Grade C - Acceptable Condition",Working,4
Nokia," 215 RM-1111",Black,"Not Applicable",Virgin,"Grade C - Acceptable Condition",Working,12
Nokia," 215 RM-1111",White,"Not Applicable",Unlocked,"Insurance Grade","Brand New",60
Nokia," 215 RM-1111",White,"Not Applicable",Unlocked,"Grade B - Good Condition",Working,776
Nokia," 215 RM-1111",White,"Not Applicable",Unlocked,"Grade A - Very Good Condition",Working,672
Nokia," 215 RM-1111",White,"Not Applicable",Unlocked,"Grade C - Acceptable Condition",Working,108
Nokia," 215 RM-1111",Black,"Not Applicable",Unlocked,"Insurance Grade","Brand New",4
Nokia," 215 RM-1111",Green,"Not Applicable",Unlocked,"Grade D",Working,4
Nokia," 215 RM-1111",Black,"Not Applicable",Damaged,"Grade C - Acceptable Condition","Power On Tested-Good LCD",4
Nokia," 215 RM-1111",Green,"Not Applicable",Damaged,"Grade C - Acceptable Condition","Power On Tested-Good LCD",4
